"FPKM.fem1_lane7"	"FPKM.fem1_lane8"	"FPKM.fem2_lane7"	"FPKM.fem2_lane8"	"FPKM.fem4_lane7"	"FPKM.fem4_lane8"	"FPKM.fem5_lane7"	"FPKM.fem5_lane8"	"FPKM.male1_lane7"	"FPKM.male1_lane8"	"FPKM.male2_lane7"	"FPKM.male2_lane8"
"GMOY000050-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000051-RA"	8.485341	8.985117	11.347374	9.884052	9.664959	9.573177	9.383224	10.460013	9.314775	9.491765	9.968394	8.991877
"GMOY000052-RA"	0	8.995744	14.962367	0	12.691306	9.59731	0	15.699108	17.029301	8.252478	7.553653	0
"GMOY000053-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000054-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000055-RA"	64.443451	57.590137	72.707886	71.753441	59.491005	63.608803	63.265167	65.759621	55.659138	59.072227	58.237461	60.361935
"GMOY000056-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000057-RA"	21.996264	21.288626	17.454151	21.442825	19.745821	20.903406	19.978266	21.175686	23.618517	25.269117	22.053589	22.331856
"GMOY000058-RA"	0	0	2.870738	0	2.752113	1.916048	3.722575	0	0	0	3.187557	0
"GMOY000059-RA"	0.122219	0	0	0	0	0	0	0	0	0	0	0
"GMOY000060-RA"	0	0	0.490885	0	0.522041	0	0	0.66889	0	0	0	1.02755
"GMOY000061-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000062-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000063-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000064-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000065-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000066-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000067-RA"	3.740876	3.412591	4.976281	4.283436	3.508551	4.643348	4.614845	4.720529	2.906188	3.843282	3.228565	3.141429
"GMOY000068-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000069-RA"	1.969308	1.763567	1.764184	1.714345	2.418527	2.256038	1.596955	1.769627	1.77867	1.249731	15.391711	14.471904
"GMOY000070-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000071-RA"	4.759552	5.476941	6.401925	6.262524	6.813266	6.684915	4.775233	7.501118	6.986936	6.769176	3.73717	6.002697
"GMOY000072-RA"	9.743649	8.284343	9.069617	9.159051	10.151549	9.92729	14.442441	11.282951	11.659245	11.628816	9.754264	11.21347
"GMOY000073-RA"	7.971821	10.495673	9.310179	9.546581	8.134181	9.762056	5.440323	9.035535	6.152472	8.712656	9.220498	5.553192
"GMOY000074-RA"	0	0.058594	0	0.08742	0.070438	0	0.106316	0.066622	0	0.144959	0	0
"GMOY000076-RA"	12.646803	10.440649	17.434935	17.40905	9.506654	12.783978	13.385393	12.167186	10.500675	13.601187	13.563457	13.829569
"GMOY012990-RA"	3.635989	4.834581	4.435405	2.330436	2.058271	4.084952	4.879376	3.081336	3.926708	5.054252	3.901979	4.43054
"GMOY000077-RA"	97.50531	97.593948	93.794487	104.39341	114.208862	114.702492	136.638885	136.112122	87.670212	80.328049	58.283264	61.80019
"GMOY000078-RA"	3.970093	3.664093	3.693279	3.418623	6.300851	5.687668	5.466941	3.990844	3.492907	5.262258	6.385848	6.10919
"GMOY000079-RA"	3.726114	2.060277	6.559068	2.346108	4.019817	5.204724	8.559097	8.617722	3.539572	2.9194	0.976208	1.432079
"GMOY000080-RA"	2.702476	2.196646	2.751604	2.973165	4.651037	2.125181	1.889163	0.935225	3.027991	1.31937	3.061656	1.906076
"GMOY000081-RA"	9.033233	6.763638	4.159347	6.444613	7.449425	8.439058	7.202917	7.483548	8.423901	9.091843	4.894362	8.224482
"GMOY000082-RA"	29.144527	28.637156	13.85389	13.378572	25.604603	26.489843	23.017485	25.125954	46.374336	46.219627	51.702431	46.57835
"GMOY000083-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000084-RA"	0.466969	2.423088	1.343088	0.50848	1.445765	0.568627	0.694603	0.937242	0.694699	0	0	0
"GMOY012759-RA"	0	0	0	0	0	0	0	1.471116	0	0	0.927639	0
"GMOY000085-RA"	0	0	0	0	0	0	0	0.66227	0	0	0	0
"GMOY000086-RA"	0	0	0	0	0	0	0	0	0	0	0.301992	0
"GMOY000087-RA"	1.08803	1.880587	0	2.103274	1.201987	2.937595	0	2.369782	0	0	0	0
"GMOY000088-RA"	5.933489	5.918964	8.061173	6.430621	5.686157	4.121656	5.80581	5.444507	5.457804	4.305066	4.304306	4.756726
"GMOY000089-RA"	0	0	0	0	0	0	0.046078	0	0	0	0	0
"GMOY000090-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000091-RA"	0	0	0	0	0	0	0	0	0	0.697104	0	0
"GMOY000092-RA"	28.039234	28.843725	20.313702	26.058727	34.873062	22.897455	33.138428	31.455786	23.55876	22.844011	31.264437	33.633442
"GMOY000093-RA"	2.49823	2.274101	3.309858	2.670872	2.138283	2.673389	1.528656	2.31005	0.683241	2.242094	0.958379	1.613137
"GMOY000094-RA"	7.708943	5.961361	8.298551	6.433763	9.414286	9.824021	9.229585	8.382691	7.105102	7.733035	7.374027	6.665527
"GMOY000095-RA"	0	0	0	0	0.754566	0	0.212071	0.417132	1.252662	0.871049	3.120291	2.285146
"GMOY000096-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000097-RA"	0	0	0.715363	0	0	0	0	0	0	0	0.142506	0
"GMOY000098-RA"	16.639883	15.834646	13.922345	14.861883	17.5895	19.322773	20.925686	20.412594	19.62545	18.738016	18.219849	16.735838
"GMOY000099-RA"	11.547885	13.228084	9.432302	9.372823	11.816734	14.10344	14.460635	12.990829	12.06146	8.496277	8.88613	9.407342
"GMOY000100-RA"	1.661558	1.365827	1.184012	1.839783	1.817198	1.927022	1.036405	2.669289	3.678668	1.541833	1.230485	1.893642
"GMOY000101-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000102-RA"	8.310845	7.679198	8.188532	6.886763	9.258803	9.565758	6.43089	9.057272	7.814179	7.975544	7.527202	4.521949
"GMOY000103-RA"	0.885256	0.878637	0.416506	1.400045	1.539295	4.559289	0	2.511817	1.590865	4.358183	0	1.898785
"GMOY000104-RA"	0	5.605995	0	0	0	0	5.840071	8.243179	0	0	0	0
"GMOY000105-RA"	7.13861	6.008673	7.678791	5.3656	8.465663	5.566761	6.795398	4.647593	7.507706	7.051219	6.979043	8.897182
"GMOY000106-RA"	7.659661	6.505958	10.047233	9.243278	5.449849	6.304436	5.253524	5.610985	7.567587	8.111643	7.201755	7.119896
"GMOY000107-RA"	16.348246	18.71965	23.199963	20.46867	20.857109	20.732954	22.915733	18.173231	21.590605	14.469358	14.301203	14.791978
"GMOY000108-RA"	4.595054	4.918362	2.484879	5.826183	5.592133	4.885567	5.005903	3.8402	3.239583	4.66942	3.463607	4.146283
"GMOY000109-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000110-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000111-RA"	0	0	0	0	0	0	0	0	0	0	0.361628	0
