"FPKM.fem1_lane7"	"FPKM.fem1_lane8"	"FPKM.fem2_lane7"	"FPKM.fem2_lane8"	"FPKM.fem4_lane7"	"FPKM.fem4_lane8"	"FPKM.fem5_lane7"	"FPKM.fem5_lane8"	"FPKM.male1_lane7"	"FPKM.male1_lane8"	"FPKM.male2_lane7"	"FPKM.male2_lane8"
"MSTRG.10035"	10.239743	13.923425	18.743364	10.540721	12.436841	11.165932	25.420612	24.015963	14.61418	14.333198	14.788386	13.925721
"MSTRG.10036"	5.72312	4.178518	6.235891	5.455545	8.477893	8.438661	9.119845	7.156704	9.642262	12.718852	10.97686	10.543684
"MSTRG.10037"	187.967545	195.639694	242.304947	232.158875	325.78125	306.89151	306.895538	300.055389	218.449326	226.388641	230.850586	219.511093
"MSTRG.10038"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10039"	29.131599	29.039173	23.887306	23.603428	29.14855	35.059029	32.393394	31.088757	34.444927	36.658085	36.218742	33.086868
"MSTRG.1004"	0	2.620155	0	2.45348	0	0	0	0	0	0	0	0
"MSTRG.10040"	47.411102	46.06131	49.808956	51.412224	45.545902	46.100941	40.016376	49.75782	46.135765	53.444118	37.282265	40.063847
"MSTRG.10041"	40.749554	42.547489	41.131161	38.004688	47.309593	46.586193	39.559879	36.748486	31.209778	31.735046	38.902702	35.778221
"MSTRG.10042"	16.630287	15.936292	19.41366	17.730923	14.701368	13.831758	15.620672	14.94408	14.89178	19.830925	12.684665	13.596858
"MSTRG.10043"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10044"	0.208805	0.206226	0	0	0.083637	0	0.082138	0.354005	0.171996	0.339122	0.33394	0.484229
"MSTRG.10045"	0	0	0	0	0	0	0	0	0	0.834193	1.36915	0
"MSTRG.10046"	0	0	0	0	0	0	0.484148	0	0	0	1.988209	1.786284
"MSTRG.10047"	0	0	0	0	0	0	0.689876	0	0	0	0	0
"MSTRG.10048"	0.477196	0	0	0	0	0	0	0	0	0	1.947429	2.879886
"MSTRG.10049"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.1005"	66.127686	64.582054	88.265022	80.958328	69.066208	69.011856	63.166916	65.480377	60.662983	65.277115	60.446957	57.076012
"MSTRG.10050"	24.682865	23.429045	23.187994	26.183989	30.396294	35.947186	38.25518	39.331146	27.771608	27.94301	28.560438	22.55105
"MSTRG.10051"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10052"	29.222351	29.746471	32.430351	28.164427	36.916824	32.638748	31.211084	32.433857	51.356873	38.936813	28.700445	33.588165
"MSTRG.10053"	54.737602	43.807995	66.076347	66.511665	56.254524	55.227722	51.713856	57.047203	50.486748	53.347244	43.706612	46.692226
"MSTRG.10054"	0.287712	0	0	0.82038	1.886426	1.018343	1.798193	0	0	0.684689	4.391302	4.825168
"MSTRG.10055"	0	0	0	0	0	0	0	0	0	0	4.207701	4.539701
"MSTRG.10056"	0	0	0	0	0	0	0	0	0	0	8.332786	9.942061
"MSTRG.10057"	15.41505	15.062298	16.016329	20.181511	13.534852	9.898998	11.464602	11.32085	9.366668	9.725636	10.38172	10.329211
"MSTRG.10058"	6.363039	4.94203	8.240758	5.769424	6.05618	5.386585	5.432152	8.540071	2.77695	4.570566	5.527401	5.317486
"MSTRG.10059"	3.64528	3.228142	3.86252	2.53483	3.175946	3.316446	4.377392	4.350914	4.481168	4.532056	5.254843	3.756595
"MSTRG.1006"	13.792274	12.867678	14.990064	15.892836	14.596685	15.363297	16.624348	13.189525	14.783122	9.40148	9.854374	11.898224
"MSTRG.10060"	7.264452	11.284951	11.000932	12.016537	11.878707	13.329048	10.724804	12.752261	8.228678	14.061751	13.17722	12.772752
"MSTRG.10061"	0	0	0	0.976604	0	0.887404	3.526639	0	1.597323	4.481796	5.235936	0
"MSTRG.10062"	0	0	6.315887	7.410706	0	0	0	0	0	5.269137	6.180766	4.767124
"MSTRG.10063"	0	0.21357	0	0	0.100666	0.099179	0	0	0.15917	0.209217	0	0
"MSTRG.10064"	25.511059	21.554083	14.540943	13.005143	17.923094	17.321989	26.637094	24.459848	34.174545	32.998333	52.81501	46.988701
"MSTRG.10065"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10066"	0.17	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10067"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10068"	0.047282	0.060934	0.112811	0	0	0.073038	0.143819	0.093867	0.151694	0.110111	0.181355	0.140409
"MSTRG.10069"	10.065548	9.097687	7.645705	7.482401	8.342978	8.573081	8.916186	8.615062	8.879704	9.006632	9.358801	9.391691
"MSTRG.1007"	7.20874	6.760668	7.360728	9.083222	10.095538	11.389164	12.931366	8.693414	7.099172	8.768559	10.249979	7.171421
"MSTRG.10070"	2.567044	5.511348	0	2.652054	7.752398	4.378469	6.327955	6.813334	8.109735	3.598155	7.911246	6.394817
"MSTRG.10071"	26.156466	33.924732	29.875862	29.770844	36.492836	25.734287	32.083305	34.343994	37.765553	37.17252	53.300968	58.974613
"MSTRG.10072"	0	0	0	0	0	0	0	0	0.185917	0	0	0
"MSTRG.10073"	7.429634	7.318774	7.900486	7.939273	7.814472	6.995728	6.242074	5.885468	7.30446	7.396792	7.577876	8.300499
"MSTRG.10074"	8.224773	8.498918	11.255713	9.480658	8.744995	10.24275	10.294832	8.488317	8.862945	7.438754	9.155706	6.251653
"MSTRG.10075"	27.719679	26.641346	27.640593	24.811268	26.662136	26.605667	24.572136	25.218174	29.077957	29.573149	31.187138	30.758453
"MSTRG.10076"	138.13797	131.417236	193.593491	205.936844	147.255524	131.094467	149.478775	137.643478	102.284233	104.873222	117.039711	106.051559
"MSTRG.10077"	21.83629	27.521931	21.621868	24.002722	16.544226	20.209387	19.349512	20.252293	17.825678	19.551514	16.201458	17.30545
"MSTRG.10078"	5.022509	4.54923	5.300427	6.860006	6.401711	6.890589	5.841464	5.847954	7.226456	6.890111	6.8798	5.71561
"MSTRG.10079"	2.776122	2.432783	3.178349	6.402007	4.718222	4.803602	4.182076	2.865503	4.368421	3.664041	3.947523	3.851243
"MSTRG.1008"	36.537193	32.349319	42.636013	43.264053	38.687008	38.616676	42.378464	34.565403	31.280535	28.046091	25.200716	26.564583
"MSTRG.10080"	19.813496	16.068825	13.072728	17.885525	19.102388	21.461836	17.944386	16.979507	20.673714	21.33952	18.417379	22.238108
"MSTRG.10081"	0.736429	1.096651	1.377111	1.496879	0.557029	1.478398	1.486828	1.091485	0.700166	0	1.524873	1.111601
"MSTRG.10082"	0	0	0	0	0	0	0	0	0	0	0.228183	0
"MSTRG.10083"	8.637211	9.419762	6.462356	6.935516	9.633331	9.319402	14.667878	11.7162	10.858661	10.518371	13.490952	11.860636
"MSTRG.10084"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10085"	10.101617	7.78927	6.49534	10.804842	13.085059	11.890173	11.164953	7.99558	13.408358	14.672806	12.281326	12.25048
"MSTRG.10086"	8.711094	6.858139	10.31655	8.552051	12.102545	10.738556	8.793346	9.141301	11.170113	9.737214	11.888703	11.945009
"MSTRG.10087"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10088"	0	0	0	0	0	0	0	0.260532	0	0	0	0.381298
"MSTRG.10089"	0	0	0	0.567781	1.623506	0	0.630132	0.518832	0	0	0	0.805556
"MSTRG.1009"	10.586846	9.212182	10.323153	14.735825	12.943171	16.608042	14.42193	15.465688	7.643747	7.565758	10.607999	11.13032
"MSTRG.10090"	0.377422	0	0	0.2704	0.439171	0.337887	0	0.843587	0	0.78617	0	0
"MSTRG.10091"	5.499516	4.286403	4.29448	3.188063	4.80206	5.06985	5.614428	4.670779	4.809657	4.171832	3.902346	4.473488
"MSTRG.10092"	22.840977	19.543365	12.24413	12.819997	17.726357	17.252289	21.435862	25.989094	16.39794	15.372027	12.410882	15.68714
"MSTRG.10093"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10094"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10095"	423.192322	425.29776	438.744385	455.154083	351.686707	348.521942	356.505402	363.195648	402.595917	394.450043	358.235748	359.04895
"MSTRG.10096"	0	0	0	0	0	0	0	0.047562	0.051391	0	0.142812	0
"MSTRG.10097"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10098"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10099"	6.300573	6.434769	7.656835	7.321256	5.093082	7.250285	5.529382	6.66731	3.701029	2.770214	6.363729	6.033271
"MSTRG.101"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.1010"	11.868641	9.863547	13.644796	12.495843	12.843596	13.424176	13.434197	11.423936	9.421086	13.749701	11.736525	11.852627
"MSTRG.10100"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10101"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10102"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10103"	1.696388	2.908876	1.90317	2.0841	1.721222	1.834567	3.518772	3.764219	1.029637	2.358284	2.793447	2.383842
"MSTRG.10104"	55.22538	50.794445	45.57056	48.470222	52.077389	59.412052	65.070984	63.817234	66.505707	66.54377	76.179741	71.398834
"MSTRG.10105"	24.377054	24.390923	31.343582	30.580191	23.172468	23.265728	24.70492	24.82266	18.635561	18.702946	16.52088	14.783255
"MSTRG.10106"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10107"	27.256815	25.876741	32.940685	33.303181	25.745361	24.293951	27.422535	28.467674	17.864746	21.32012	20.634827	20.031542
"MSTRG.10108"	47.576286	42.08075	63.494915	46.184887	50.893524	48.925106	64.138283	54.231293	41.584381	48.90337	34.688698	34.270008
"MSTRG.10109"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.1011"	72.681175	65.907837	67.325905	70.979462	86.431717	89.360916	75.22863	84.014275	112.751923	115.056183	85.383469	90.588364
"MSTRG.10110"	31.26757	29.501348	23.761225	26.639482	32.960197	30.756224	34.294552	33.798592	30.557859	27.983301	37.889565	29.257563
"MSTRG.10111"	0	0	0	0	2.702137	0	0	0	0	3.876145	0	1.86034
"MSTRG.10112"	1.620646	0	2.323084	0	0	0	0	0	0	0	0	0
